java_file,rust_file,target_crate,rust_type,capability,status,test_evidence,source_commit
easyexcel/src/main/java/com/alibaba/excel/Empty.java,easyexcel/src/support/empty.rs,easyexcel,empty,core,complete,easyexcel_core::empty::tests::root_and_support_empty_are_the_same_zero_sized_marker,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/EasyExcel.java,easyexcel/src/easy_excel.rs,easyexcel,easy_excel,core,complete,easyexcel::tests::easy_excel_inherits_factory_entry_points_through_the_same_rust_type,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/EasyExcelFactory.java,easyexcel/src/easy_excel_factory.rs,easyexcel,easy_excel_factory,core,complete,easyexcel::tests::easy_excel_factory_builds_all_unbound_sheet_and_table_overloads|easy_excel_factory_input_stream_uses_the_real_xlsx_reader_and_cleans_up|easy_excel_factory_input_stream_is_cleaned_when_analysis_fails|easy_excel_factory_detects_an_encrypted_xlsx_input_stream|easy_excel_factory_path_and_output_stream_builders_execute_real_writes,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/ExcelReader.java,easyexcel/src/excel_reader.rs,easyexcel,excel_reader,core,complete,easyexcel_reader::excel_reader::tests::excel_reader_read_all_loads_csv_rows|excel_reader_read_processes_each_sheet_and_applies_sheet_parameters|excel_reader_read_rejects_an_empty_sheet_list_like_java|excel_reader_exposes_the_real_executor_and_java_lifecycle_aliases|excel_reader_csv_executor_reports_its_real_logical_sheet,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/ExcelWriter.java,easyexcel/src/excel_writer.rs,easyexcel,excel_writer,core,in_progress,,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyser.java,easyexcel/src/analysis/excel_analyser.rs,easyexcel,excel_analyser,read,complete,easyexcel_reader::analysis::excel_analyser_impl::tests::trait_analysis_dispatches_to_the_real_typed_executor|finish_is_idempotent|easyexcel_reader::excel_reader::tests::excel_reader_exposes_the_real_executor_and_java_lifecycle_aliases,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java,easyexcel/src/analysis/excel_analyser_impl.rs,easyexcel,excel_analyser_impl,read,complete,easyexcel_reader::analysis::excel_analyser_impl::tests::choice_excel_executor_resolves_csv_extension|analysis_with_listener_delegates_to_read_csv|trait_analysis_dispatches_to_the_real_typed_executor|finish_is_idempotent|easyexcel::tests::easy_excel_factory_input_stream_uses_the_real_xlsx_reader_and_cleans_up|easy_excel_factory_input_stream_is_cleaned_when_analysis_fails|easyexcel_reader::read_cache::tests::disk_cache_reopens_the_tls_reader_when_the_cache_path_changes,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelReadExecutor.java,easyexcel/src/analysis/excel_read_executor.rs,easyexcel,excel_read_executor,read,complete,easyexcel_reader::analysis::v07::xlsx_sax_analyser::tests::trait_execute_runs_the_real_xlsx_parser|easyexcel_reader::analysis::v03::xls_sax_analyser::tests::trait_execute_runs_the_real_xls_parser|easyexcel_reader::analysis::csv::csv_excel_read_executor::tests::trait_execute_runs_the_real_csv_parser,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/csv/CsvExcelReadExecutor.java,easyexcel/src/analysis/csv/csv_excel_read_executor.rs,easyexcel,csv_excel_read_executor,read,complete,easyexcel_reader::analysis::csv::csv_excel_read_executor::tests::trait_execute_runs_the_real_csv_parser|unbound_executor_reports_a_real_configuration_error|easyexcel_reader::tests::csv_read_decodes_java_charset_names_and_strips_matching_bom|csv_read_uses_typed_lifecycle_single_sheet_selection_and_flexible_rows,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/IgnorableXlsRecordHandler.java,easyexcel/src/analysis/v03/ignorable_xls_record_handler.rs,easyexcel,ignorable_xls_record_handler,read,complete,easyexcel_reader::analysis::v03::xls_record_dispatcher::tests::selected_sheet_skips_ignorable_records_until_next_bof|support_predicate_skips_merge_when_not_requested,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/XlsListSheetListener.java,easyexcel/src/analysis/v03/xls_list_sheet_listener.rs,easyexcel,xls_list_sheet_listener,read,complete,easyexcel_reader::analysis::v03::xls_sax_analyser::tests::sheet_list_discovers_worksheet_names|list_xls_sheets_matches_analyser_sheet_list,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/XlsRecordHandler.java,easyexcel/src/analysis/v03/xls_record_handler.rs,easyexcel,xls_record_handler,read,complete,easyexcel_reader::analysis::v03::xls_record_dispatcher::tests::dispatches_number_to_real_handler_and_keeps_unknown_records_ignorable|easyexcel_reader::analysis::v03::xls_sax_analyser::tests::process_record_dispatches_number_handler,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/XlsSaxAnalyser.java,easyexcel/src/analysis/v03/xls_sax_analyser.rs,easyexcel,xls_sax_analyser,read,in_progress,easyexcel_reader::analysis::v03::xls_sax_analyser::tests::execute_walks_real_workbook_biff_records|process_record_dispatches_number_handler|trait_execute_runs_the_real_xls_parser,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/handlers/AbstractXlsRecordHandler.java,easyexcel/src/analysis/v03/handlers/abstract_xls_record_handler.rs,easyexcel,abstract_xls_record_handler,read,complete,easyexcel_reader::analysis::v03::xls_record_dispatcher::tests::dispatches_number_to_real_handler_and_keeps_unknown_records_ignorable,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/handlers/BlankRecordHandler.java,easyexcel/src/analysis/v03/handlers/blank_record_handler.rs,easyexcel,blank_record_handler,read,in_progress,,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/handlers/BofRecordHandler.java,easyexcel/src/analysis/v03/handlers/bof_record_handler.rs,easyexcel,bof_record_handler,read,in_progress,,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/handlers/BoolErrRecordHandler.java,easyexcel/src/analysis/v03/handlers/bool_err_record_handler.rs,easyexcel,bool_err_record_handler,read,in_progress,,3afdea9d
easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/handlers/BoundSheetRecordHandler.java,easyexcel/src/analysis/v03/handlers/bound_sheet_record_handler.rs,easyexcel,bound_sheet_record_handler,read,in_progress,,3afdea9d
